threshold,pip_profit,sharpe,winrate,drawdown,fees,trades_n
0.0,160.0,0.00081,29.27,0,2253.0,1502.0
0.0075,286.2,0.00146,29.07,0,2232.0,1488.0
0.015,388.8,0.00199,28.74,0,2236.5,1491.0
0.0225,452.1,0.00232,28.26,0,2232.0,1488.0
0.03,370.3,0.0019,28.53,0,2232.0,1488.0
0.0375,385.3,0.00199,28.56,0,2224.5,1483.0
0.045,516.4,0.00267,28.53,0,2190.0,1460.0
0.0525,340.2,0.00176,29.06,0,2181.0,1454.0
0.06,373.5,0.00194,28.94,0,2175.0,1450.0
0.0675,285.8,0.00148,28.84,0,2182.5,1455.0
0.075,170.8,0.00089,29.21,0,2185.5,1457.0
0.0825,226.8,0.00118,29.15,0,2179.5,1453.0
0.09,333.7,0.00175,28.97,0,2146.5,1431.0
0.0975,349.6,0.00184,28.97,0,2146.5,1431.0
0.105,491.1,0.00259,30.01,0,2142.0,1428.0
0.1125,601.2,0.00318,29.9,0,2115.0,1410.0
0.12,519.1,0.00275,30.48,0,2104.5,1403.0
0.1275,492.8,0.00262,30.36,0,2107.5,1405.0
0.135,399.6,0.00213,30.08,0,2107.5,1405.0
0.1425,359.9,0.00192,30.67,0,2106.0,1404.0
0.15,347.0,0.00186,30.61,0,2115.0,1410.0
0.1575,467.4,0.00251,30.88,0,2101.5,1401.0
0.165,747.5,0.00403,30.56,0,2076.0,1384.0
0.1725,651.5,0.00352,30.11,0,2067.0,1378.0
0.18,531.5,0.00287,30.25,0,2079.0,1386.0
0.1875,467.6,0.00253,30.66,0,2065.5,1377.0
0.195,280.0,0.00152,30.92,0,2053.5,1369.0
0.2025,196.1,0.00107,30.75,0,2038.5,1359.0
0.21,98.0,0.00054,30.32,0,2047.5,1365.0
0.2175,157.1,0.00086,30.15,0,2014.5,1343.0
0.225,183.9,0.00101,30.39,0,1995.0,1330.0
0.2325,344.7,0.00191,30.71,0,1968.0,1312.0
0.24,283.5,0.00157,31.03,0,1963.5,1309.0
0.2475,113.4,0.00063,31.43,0,1948.5,1299.0
0.255,208.5,0.00117,30.49,0,1923.0,1282.0
0.2625,441.7,0.0025,30.96,0,1902.0,1268.0
0.27,282.1,0.00161,31.62,0,1875.0,1250.0
0.2775,237.4,0.00136,31.95,0,1857.0,1238.0
0.285,151.2,0.00087,31.79,0,1855.5,1237.0
0.2925,19.6,0.00011,30.98,0,1849.5,1233.0
0.3,-44.5,-0.00026,30.9,0,1834.5,1223.0
0.3075,-201.2,-0.00118,30.13,0,1815.0,1210.0
0.315,-82.9,-0.00049,29.7,0,1791.0,1194.0
0.3225,-182.3,-0.00109,29.89,0,1761.0,1174.0
0.33,-230.0,-0.00138,29.99,0,1755.0,1170.0
0.3375,-123.9,-0.00075,30.68,0,1702.5,1135.0
0.345,128.7,0.00079,30.87,0,1648.5,1099.0
0.3525,226.5,0.00139,30.32,0,1600.5,1067.0
0.36,-141.9,-0.00088,30.63,0,1599.0,1066.0
0.3675,40.2,0.00025,30.76,0,1560.0,1040.0
0.375,55.6,0.00035,30.98,0,1533.0,1022.0
0.3825,199.6,0.00129,30.14,0,1491.0,994.0
0.39,109.7,0.00071,29.53,0,1437.0,958.0
0.3975,-47.3,-0.00031,30.07,0,1431.0,954.0
0.405,-64.3,-0.00043,31.0,0,1398.0,932.0
0.4125,-105.8,-0.00071,30.04,0,1356.0,904.0
0.42,210.2,0.00143,30.51,0,1296.0,864.0
0.4275,-162.3,-0.00113,30.35,0,1278.0,852.0
0.435,-255.9,-0.0018,31.9,0,1227.0,818.0
0.4425,-317.8,-0.00229,30.59,0,1170.0,780.0
0.45,-425.5,-0.00316,31.2,0,1104.0,736.0
