type,threshold,pip_profit,sharpe,winrate,drawdown,fees,trades_n
train_nn_pred,0.15,1743.3,0.00767,30.25,1359.2,1774.5,1183.0
val_nn_pred,0.15,91.5,0.00202,25.13,626.6,298.5,199.0
test_nn_pred,0.15,1335.2,0.01321,31.65,695.1,568.5,379.0
train_macd,0.15,1083.1,0.00579,29.47,827.9,1957.5,1305.0
val_macd,0.15,341.8,0.00896,21.7,396.5,324.0,216.0
test_macd,0.15,1347.3,0.01591,28.97,465.2,600.0,400.0
